result,moves,accuracy,opponent_rating,my_rating
loss,34,73.6,1526,1499
win,47,85.6,1477,1511
win,11,82.1,1510,1524
loss,23,76.1,1535,1512
win,51,80.8,1507,1524
loss,43,74.5,1541,1513
draw,37,79.4,1516,1513
win,24,75.4,1517,1524
win,17,81.4,1470,1533
win,24,86.4,1459,1542
loss,34,74.4,1541,1532
draw,25,81.4,1554,1533
win,19,95.1,1538,1543
win,45,78.0,1539,1552
win,54,74.0,1557,1561
win,66,84.7,1580,1571
loss,54,83.9,1612,1563
win,18,96.7,1542,1571
win,51,74.2,1585,1580
win,33,85.4,1550,1588
loss,59,67.0,1588,1579
loss,76,77.8,1574,1571
loss,41,73.0,1555,1562
win,67,86.7,1549,1570
loss,8,74.9,1576,1562
win,51,72.4,1553,1570
win,36,70.8,1552,1578
loss,49,77.3,1590,1570
win,30,88.3,1575,1578
win,30,82.5,1587,1586
win,40,84.5,1601,1595
loss,47,72.3,1622,1587
win,33,82.9,1560,1595
win,60,76.3,1592,1603
win,15,95.5,1577,1611
win,61,86.5,1619,1619
win,50,79.1,1622,1627
draw,31,82.7,1615,1627
win,42,82.2,1632,1635
